recall_number,language,title,statut,codes,heures,bulletin_url,lettre_url,lettre_urls,bulletin_file,lettre_file,lettre_files,parts_available,owner_letter_count,owner_letter_1,owner_letter_1_remedy,owner_letter_2,owner_letter_2_remedy,owner_letter_3,owner_letter_3_remedy,owner_letter_4,owner_letter_4_remedy,owner_letter_5,owner_letter_5_remedy,error,extracted_at
26S22,EN-US,Certain 2026 Model Year Explorer and Aviator Vehicles -Instrument Panel Fastener Inspection and Repair,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110710/26S22_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110849/26S22_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S22,FR-CA,Certains véhicules Explorer et Aviator de l'année-modèle 2026 – Inspection et réparation des fixations de la planche de bord,Solution disponible,MT26S22B / MT26S22C,"2,0h / 2,0h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110712/26S22_French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110850/26S22_French_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S23,EN-US,Certain 2026 Model Year Explorer and Mustang Vehicles with a 2.3L EcoBoost Engine -Cylinder Inspection,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110615/26S23_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/111439/26S23_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S23,FR-CA,Certains véhicules Explorer et Mustang de l'année-modèle 2026 équipés d'un moteur EcoBoost de 2.3L – Inspection des cylindres,Solution disponible,26S23A / MT26S23AA / 26S23C / MT26S23CC / 26S23E / 26S23ZZ,"1,7h / 1,7h / 0,6h / 0,6h / 0,2h / 0,2h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110617/26S23_French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/111440/26S23_French_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26C19,EN-US,Certain 2025-2026 Model Year Maverick and Bronco Sport Vehicles -Occupant Classification Sensor Replacement,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110517/26C19_Advance_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110719/26C19_No_Repair_Owner_letter.pdf,,,,,,,,,,,,,,,,,,
26C19,FR-CA,Certains véhicules Maverick et Bronco Sport des années-modèles 2025 et 2026 – Remplacement du capteur de classification de l'occupant,Solution disponible,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110518/26C19_French_Advance_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110718/26C19_French_No_Repair_Owner_letter.pdf,,,,,,,,,,,,,,,,,,
26S29,EN-US,Certain 2024-2026 Model Year Ranger Vehicles -A-Pillar Wiring Inspection and BCM Update,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/112893/26S29_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/111865/26S29_2024_Ranger_No_Repair_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S29,FR-CA,Certains véhicules Ranger des années-modèles 2024 à 2026 Inspection du câblage du pied avant et mise à jour du module BCM,Solution disponible,26S29B / 26S29SV / 26S29C / MT26S29RR / 26S29MM,"0,3h / 0,2h / 0,3h / jusqu'à 4,5h / 0,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/112895/26S29_French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/111869/26S29_French_2024_Ranger_No_Repair_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S30,EN-US,Certain 2024-2026 Model Year Bronco and Ranger Vehicles -Front Seat Height-Adjust Pivot Bolt and Link Inspection,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/111823/26S30__Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/112379/26S30_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S30,FR-CA,Certains véhicules Bronco et Ranger des années-modèles 2024 à 2026 – Inspection des boulons de pivot et des éléments d'articulation de réglage en hauteur des sièges avant,Solution disponible,26S30A / 26S30ZZ / 26S30MM,"0,9h / 0,9h / 0,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/111824/26S30__French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/112380/26S30_French_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
